1,4226243
2,9959340
3,2577029
4,4839836
5,5431012
6,3587321
7,3327804
8,191387
9,7443649
10,5553441
11,2847605
12,2598974
13,9211691
14,7611775
15,6157638
16,7137317
17,3728778
18,7934619
19,5948119
20,2022968
21,131936
22,5538862
23,4511621
24,9323725
25,5189092
26,8513438
27,9570883
28,4471332
29,3922139
30,413370
31,5381551
32,5664660
33,7503527
34,4619848
35,7302363
36,6837796
37,5129444
38,6570238
39,3812292
40,9170905
41,230873
42,2195383
43,6794009
44,233741
45,708660
46,7837887
47,4121090
48,5571947
49,8143705
50,5471483
51,9007845
52,2586882
53,8713946
54,673090
55,796590
56,1131144
57,4644023
58,4389127
59,1225416
60,2112505
61,321422
62,8820157
63,8711017
64,9634379
65,4911788
66,6039799
67,9926518
68,363249
69,7851205
70,7942058
71,9613923
72,4396445
73,2593930
74,9520265
75,7105598
76,1406424
77,4255334
78,9378857
79,7101873
80,1995773
81,6059523
82,5624531
83,5298568
84,2209299
85,8234825
86,2645354
87,6979097
88,4954010
89,3022589
90,9931373
91,404741
92,2602067
93,5391609
94,5469002
95,8349608
96,3531252
97,737104
98,5282215
99,5581719
100,1009495
101,1552133
102,4208503
103,8093432
104,3459759
105,5899635
106,9698851
107,2983462
108,1161402
109,8167755
110,2931021
111,698947
112,3824524
113,4390490
114,2406541
115,1643012
116,1336355
117,992584
118,4377128
119,2192466
120,9711532
121,8812444
122,2654978
123,3911131
124,3875673
125,6700188
126,6435632
127,7718226
128,1638546
129,4822954
130,8852466
131,8164014
132,9302281
133,9329659
134,1821074
135,2410836
136,7581644
137,1827553
138,6328232
139,2319727
140,7876134
141,7986000
142,2362370
143,730012
144,1876088
145,1072079
146,5977107
147,4377065
148,3015800
149,7811587
150,5785326
151,8127773
152,1665875
153,669563
154,692351
155,5850929
156,7332427
157,8167363
158,1024747
159,5518868
160,7033547
161,5208998
162,108839
163,9901250
164,3145289
165,8234139
166,6382687
167,7807758
168,9477418
169,6308236
170,6696015
171,5173144
172,9415760
173,7706202
174,793374
175,8742641
176,6394811
177,491717
178,7101427
179,6516415
180,1790512
181,510013
182,738371
183,6579383
184,572478
185,5349805
186,1506089
187,4062642
188,1527141
189,620624
190,3324406
191,362275
192,9282648
193,9878761
194,6549831
195,6075281
196,1851825
197,1319504
198,5758725
199,3775645
200,3509320
201,6109481
202,1008609
203,4745566
204,1456490
205,6769470
206,1513311
207,6854097
208,8553324
209,7338377
210,5007118
211,5632222
212,4027416
213,984989
214,1141382
215,5688507
216,4960208
217,942616
218,8923217
219,8684160
220,5808034
221,439926
222,5958697
223,3542993
224,3717925
225,5739336
226,7218984
227,7779207
228,1836094
229,609565
230,5876694
231,2909089
232,9646709
233,8469681
234,3307381
235,299905
236,355278
237,1509229
238,8593733
239,906580
240,6978574
241,3129130
242,3445706
243,9789886
244,9626451
245,7289182
246,8924655
247,3556070
248,1514390
249,5856289
250,6890940
251,7921711
252,6053678
253,700889
254,2549471
255,3295686
256,6811614
257,8054732
258,8604826
259,3273421
260,3370236
261,841286
262,9720590
263,8817826
264,9553818
265,8826774
266,8411768
267,9675304
268,6330615
269,6982944
270,7183390
271,2255640
272,3342986
273,7180034
274,5216118
275,7774776
276,5628679
